35,30,1717
33,23,1987
23,21,1243
15,35,859
18,32,1987
18,29,476
25,24,1902
17,19,1425
16,30,1314
29,20,1319
28,30,1302
24,25,1087
26,25,311
20,23,1510
24,26,1569
27,30,589
21,16,893
22,26,558
27,18,1267
28,29,1389
20,26,642
19,30,1592
15,24,1154
33,22,1978
19,15,513
29,16,138
19,17,1001
22,19,1190
20,33,1271
23,35,341
34,16,1031
22,34,851
35,22,1566
18,28,1871
23,29,693
22,23,1530
32,25,1884
31,26,635
30,24,1477
21,17,1939
30,18,1731
31,22,565
16,31,1232
20,18,520
31,35,354
15,25,186
17,25,1101
20,24,1213
33,16,95
35,34,468
